[11:08:24] 澜起科技 sh688008 -> {"dir":"净流出","net":-1.95,"inflow":18.47,"outflow":20.42,"trend5d":"近5日资金总体呈现净流入状态，短期多空博弈明显。"}
[11:08:36] 中际旭创 sz300308 -> {"dir":"净流入","net":10.75,"inflow":60.91,"outflow":50.16,"trend5d":"近5日资金总体呈现净流入状态。"}
[11:08:53] 扬杰科技 sz300373 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:09:10] 中钨高新 sz000657 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:09:26] 普冉股份 sh688766 -> {"dir":"净流出","net":-1.92,"inflow":17,"outflow":18.91,"trend5d":null}
[11:09:40] 佰维存储 sh688525 -> {"dir":"净流入","net":1.28,"inflow":19.07,"outflow":17.79,"trend5d":null}
[11:09:53] 长鑫科技 sh688825 -> {"dir":"净流入","net":13.27,"inflow":73.76,"outflow":60.49,"trend5d":"近5日资金总体呈现净流入状态。"}
[11:10:08] 紫光国微 sz002049 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:10:22] 新易盛 sz300502 -> {"dir":"净流入","net":9.68,"inflow":56.46,"outflow":46.78,"trend5d":"近5日资金总体呈现净流入状态。"}
[11:10:37] 华友钴业 sh603799 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:10:52] 立讯精密 sz002475 -> {"dir":"净流出","net":-1.06,"inflow":9.7,"outflow":10.76,"trend5d":null}
[11:11:08] 环旭电子 sh601231 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:11:22] 科华数据 sz002335 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:11:38] 四方达 sz300179 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:11:52] 紫金矿业 sh601899 -> {"dir":"净流出","net":-1.18,"inflow":17.81,"outflow":18.99,"trend5d":null}
[11:12:08] 大华股份 sz002236 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:12:23] 宁德时代 sz300750 -> {"dir":"净流出","net":-1.18,"inflow":19.72,"outflow":20.9,"trend5d":null}
[11:12:39] 汉得信息 sz300170 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:12:54] 华测导航 sz300627 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
[11:13:08] 科大讯飞 sz002230 -> {"dir":"净流出","net":-1.87,"inflow":4.1,"outflow":5.97,"trend5d":null}
[11:13:24] 青岛啤酒 sh600600 -> {"dir":null,"net":null,"inflow":null,"outflow":null,"trend5d":null}
